state,capital
Andhra Pradesh,Amaravati
Arunachal Pradesh,Itanagar
Assam,Dispur
Bihar,Patna
Chhattisgarh,Raipur
Goa,Panaji
Gujarat,Gandhinagar
Haryana,Chandigarh
Himachal Pradesh,Shimla
Jharkhand,Ranchi
Karnataka,Bengaluru
Kerala,Thiruvananthapuram
Madhya Pradesh,Bhopal
Maharashtra,Mumbai
Manipur,Imphal
Meghalaya,Shillong
Mizoram,Aizawl
Nagaland,Kohima
Odisha,Bhubaneswar
Punjab,Chandigarh
Rajasthan,Jaipur
Sikkim,Gangtok
Tamil Nadu,Chennai
Telangana,Hyderabad
Tripura,Agartala
Uttar Pradesh,Lucknow
Uttarakhand,Dehradun (Winter) Gairsain (Summer)
West Bengal,Kolkata
Andaman Nicobar Islands,Port Blair
Chandigarh,Chandigarh
Dadra Nagar Haveli Daman Diu,Daman
Delhi,New Delhi
Jammu and Kashmir,Srinagar (Summer) Jammu (Winter)
Lakshadweep,Kavaratti
Puducherry,Pondicherry
Ladakh,Leh
